"","ID","Ventas","Zona","Vendedor","Devol","Satis","Canal","Turno"
"1","1001","300412.438","Norte","3","12000","TRUE","tradicional","9"
"2","1002","196608.268","Norte","5","12011","TRUE","web","4"
"3","1003","376697.403","Norte","2","12011","TRUE","tradicional","9"
"4","1004","483674.849","Norte","3","12004","TRUE","web","7"
"5","1005","747751.896","Norte","2","12001","FALSE","tradicional","2"
"6","1006","451109.692","Norte","5","12056","TRUE","web","1"
"7","1007","279648.959","Norte","4","12000","TRUE","tradicional","9"
"8","1008","670466.463","Norte","3","12006","FALSE","web","2"
"9","1009","551271.445","Norte","3","12002","TRUE","tradicional","7"
"10","1010","255722.562","Norte","2","12012","FALSE","web","7"
"11","1011","365129.892","Norte","4","12013","TRUE","tradicional","8"
"12","1012","300101.974","Norte","2","12010","TRUE","web","9"
"13","1013","430317.343","Norte","1","12003","TRUE","tradicional","5"
"14","1014","773170.118","Norte","2","12000","TRUE","web","6"
"15","1015","1053572.395","Norte","3","12010","TRUE","tradicional","6"
"16","1016","592709.195","Norte","2","12033","TRUE","web","6"
"17","1017","863717.806","Norte","4","12005","TRUE","tradicional","2"
"18","1018","476979.534","Norte","1","12004","TRUE","web","3"
"19","1019","453610.273","Norte","4","12000","TRUE","tradicional","1"
"20","1020","291368.359","Norte","2","12043","TRUE","web","1"
"21","1021","653584.151","Norte","2","12000","TRUE","tradicional","9"
"22","1022","281069.153","Norte","4","12000","TRUE","web","3"
"23","1023","403417.604","Norte","4","12000","TRUE","tradicional","2"
"24","1024","356560.493","Norte","4","12000","TRUE","web","2"
"25","1025","439933.862","Norte","1","12000","TRUE","tradicional","6"
"26","1026","306936.575","Norte","5","12003","FALSE","web","5"
"27","1027","402684.882","Norte","2","12002","TRUE","tradicional","7"
"28","1028","272106.419","Norte","3","12007","TRUE","web","3"
"29","1029","240053.191","Norte","2","12003","TRUE","tradicional","5"
"30","1030","285664.165","Norte","2","12007","TRUE","web","3"
"31","1031","265822.477","Norte","4","12016","FALSE","tradicional","8"
"32","1032","391791.924","Norte","2","12010","TRUE","web","8"
"33","1033","1072614.499","Norte","2","12000","TRUE","tradicional","5"
"34","1034","821253.161","Norte","4","12000","TRUE","web","7"
"35","1035","608332.795","Norte","1","12001","TRUE","tradicional","6"
"36","1036","409379.509","Norte","1","12006","TRUE","web","5"
"37","1037","388054.685","Norte","1","12004","TRUE","tradicional","6"
"38","1038","554277.831","Norte","4","12012","TRUE","web","3"
"39","1039","268680.836","Norte","3","12008","TRUE","tradicional","7"
"40","1040","504547.482","Norte","3","12000","FALSE","web","7"
"41","1041","456513.482","Norte","2","12001","TRUE","tradicional","5"
"42","1042","301667.243","Norte","2","12017","TRUE","web","3"
"43","1043","180619.06","Norte","2","12004","TRUE","tradicional","2"
"44","1044","190488.305","Norte","1","12005","TRUE","web","8"
"45","1045","136482.927","Norte","2","12024","TRUE","tradicional","3"
"46","1046","357991.517","Norte","2","12017","FALSE","web","4"
"47","1047","577894.359","Norte","5","12000","TRUE","tradicional","6"
"48","1048","576709.981","Norte","2","12000","TRUE","web","5"
"49","1049","175080.516","Norte","2","12000","TRUE","tradicional","9"
"50","1050","376297.644","Norte","5","12004","FALSE","web","8"
"51","1051","362209.139","Norte","4","12020","TRUE","tradicional","5"
"52","1052","351859.222","Norte","4","12005","TRUE","web","5"
"53","1053","309267.877","Norte","2","12003","TRUE","tradicional","2"
"54","1054","456065.931","Norte","5","12011","TRUE","web","7"
"55","1055","172282.671","Norte","4","12000","TRUE","tradicional","7"
"56","1056","411194.809","Norte","2","12005","TRUE","web","7"
"57","1057","353559.36","Norte","3","12016","TRUE","tradicional","9"
"58","1058","486877.403","Norte","3","12000","TRUE","web","3"
"59","1059","892064.701","Norte","3","12002","FALSE","tradicional","10"
"60","1060","402353.09","Norte","4","12007","TRUE","web","6"
"61","1061","444501.611","Norte","4","12012","TRUE","tradicional","7"
"62","1062","609524.243","Norte","4","12000","TRUE","web","6"
"63","1063","583516.333","Norte","4","12005","TRUE","tradicional","9"
"64","1064","420788.95","Norte","1","12003","TRUE","web","6"
"65","1065","418082.907","Norte","4","12012","TRUE","tradicional","6"
"66","1066","479784.066","Norte","2","12009","TRUE","web","3"
"67","1067","661761.071","Norte","1","12022","FALSE","tradicional","4"
"68","1068","560231.161","Norte","2","12004","TRUE","web","9"
"69","1069","396169.559","Norte","3","12000","FALSE","tradicional","3"
"70","1070","438080.796","Norte","4","12001","FALSE","web","8"
"71","1071","320057.716","Norte","3","12000","FALSE","tradicional","3"
"72","1072","432822.917","Norte","1","12004","FALSE","web","6"
"73","1073","347714.518","Norte","1","12010","TRUE","tradicional","5"
"74","1074","252811.162","Norte","5","12001","TRUE","web","10"
"75","1075","230132.49","Norte","2","12000","TRUE","tradicional","9"
"76","1076","257513.696","Norte","5","12040","FALSE","web","7"
"77","1077","410627.505","Norte","4","12000","TRUE","tradicional","2"
"78","1078","481031.993","Norte","2","12070","TRUE","web","8"
"79","1079","369130.584","Norte","4","12001","TRUE","tradicional","10"
"80","1080","331094.704","Norte","4","12006","TRUE","web","3"
"81","1081","392165.474","Norte","2","12005","FALSE","tradicional","8"
"82","1082","440007.87","Norte","2","12003","TRUE","web","9"
"83","1083","470022.119","Norte","3","12013","TRUE","tradicional","8"
"84","1084","390511.297","Norte","2","12000","TRUE","web","3"
"85","1085","310456.732","Norte","4","12018","FALSE","tradicional","2"
"86","1086","222434.79","Norte","2","12007","TRUE","web","8"
"87","1087","223491.755","Norte","2","12006","FALSE","tradicional","4"
"88","1088","527979.559","Norte","3","12005","TRUE","web","2"
"89","1089","593131.626","Norte","4","12000","TRUE","tradicional","3"
"90","1090","552393.672","Norte","2","12019","TRUE","web","2"
"91","1091","567495.951","Norte","5","12000","TRUE","tradicional","9"
"92","1092","466531.394","Norte","2","12004","FALSE","web","2"
"93","1093","557182.69","Norte","5","12000","TRUE","tradicional","6"
"94","1094","213176.269","Norte","3","12012","TRUE","web","3"
"95","1095","146347.491","Norte","4","12000","TRUE","tradicional","3"
"96","1096","1036175.781","Norte","4","12000","FALSE","web","3"
"97","1097","537463.992","Norte","3","12015","TRUE","tradicional","6"
"98","1098","281232.67","Norte","2","12034","TRUE","web","7"
"99","1099","773605.002","Norte","3","12000","FALSE","tradicional","7"
"100","1100","465105.693","Norte","4","12000","TRUE","web","3"
"101","1101","304210.659","Norte","3","12001","TRUE","tradicional","3"
"102","1102","241522.327","Norte","1","12047","FALSE","web","1"
"103","1103","844019.164","Norte","3","12003","TRUE","tradicional","4"
"104","1104","215657.483","Norte","3","12011","TRUE","web","9"
"105","1105","216814.104","Norte","3","12001","TRUE","tradicional","2"
"106","1106","502858.29","Norte","3","12013","TRUE","web","5"
"107","1107","294376.095","Norte","3","12003","TRUE","tradicional","2"
"108","1108","428817.862","Norte","5","12000","TRUE","web","5"
"109","1109","353665.182","Norte","3","12010","FALSE","tradicional","7"
"110","1110","772043.028","Norte","5","12007","TRUE","web","5"
"111","1111","405789.367","Norte","2","12009","FALSE","tradicional","6"
"112","1112","323766.742","Norte","2","12000","FALSE","web","9"
"113","1113","309028.923","Norte","2","12001","TRUE","tradicional","2"
"114","1114","510630.534","Norte","2","12000","TRUE","web","5"
"115","1115","312831.018","Norte","3","12000","TRUE","tradicional","10"
"116","1116","688294.241","Norte","5","12048","FALSE","web","5"
"117","1117","157456.821","Norte","4","12014","TRUE","tradicional","9"
"118","1118","624018.835","Norte","1","12001","FALSE","web","4"
"119","1119","220020.582","Norte","3","12009","TRUE","tradicional","4"
"120","1120","326959.448","Norte","5","12000","TRUE","web","8"
"121","1121","640072.509","Norte","2","12012","TRUE","tradicional","3"
"122","1122","225779.682","Norte","4","12012","TRUE","web","6"
"123","1123","281281.549","Norte","3","12001","TRUE","tradicional","5"
"124","1124","291885.368","Norte","4","12001","TRUE","web","2"
"125","1125","683574.912","Norte","4","12011","TRUE","tradicional","5"
"126","1126","469031.461","Norte","2","12014","FALSE","web","4"
"127","1127","529192.7","Norte","2","12055","FALSE","tradicional","6"
"128","1128","172195.618","Norte","4","12003","FALSE","web","9"
"129","1129","291520.572","Norte","3","12002","TRUE","tradicional","5"
"130","1130","299979.354","Norte","3","12000","TRUE","web","1"
"131","1131","507717.165","Norte","3","12025","TRUE","tradicional","10"
"132","1132","557473.613","Norte","4","12000","TRUE","web","4"
"133","1133","569866.572","Norte","3","12014","TRUE","tradicional","7"
"134","1134","379909.795","Norte","3","12011","FALSE","web","9"
"135","1135","351072.04","Norte","1","12026","TRUE","tradicional","3"
"136","1136","316370.927","Norte","4","12004","TRUE","web","8"
"137","1137","338024.306","Norte","4","12010","TRUE","tradicional","6"
"138","1138","742500.313","Norte","4","12000","FALSE","web","9"
"139","1139","675059.206","Norte","1","12000","TRUE","tradicional","8"
"140","1140","284441.559","Norte","1","12000","TRUE","web","8"
"141","1141","224203.336","Norte","3","12010","FALSE","tradicional","4"
"142","1142","317182.785","Norte","2","12009","TRUE","web","5"
"143","1143","496991.54","Norte","2","12003","TRUE","tradicional","7"
"144","1144","499790.191","Norte","3","12011","TRUE","web","10"
"145","1145","518211.258","Norte","3","12017","TRUE","tradicional","2"
"146","1146","616754.616","Norte","1","12033","TRUE","web","7"
"147","1147","347571.604","Norte","4","12007","TRUE","tradicional","9"
"148","1148","365931.326","Norte","1","12000","TRUE","web","3"
"149","1149","254584.349","Norte","4","12001","TRUE","tradicional","4"
"150","1150","359171.088","Norte","1","12001","FALSE","web","4"
"151","1151","215804.01","Norte","5","12000","TRUE","tradicional","1"
"152","1152","549422.528","Norte","3","12013","TRUE","web","3"
"153","1153","467028.054","Norte","3","12010","TRUE","tradicional","5"
"154","1154","297395.626","Norte","5","12015","TRUE","web","5"
"155","1155","614575.969","Norte","3","12000","TRUE","tradicional","9"
"156","1156","258102.611","Norte","3","12010","FALSE","web","9"
"157","1157","841787.219","Norte","3","12063","TRUE","tradicional","5"
"158","1158","323202.701","Norte","4","12002","FALSE","web","5"
"159","1159","414258.555","Norte","4","12051","TRUE","tradicional","3"
"160","1160","307623.034","Norte","2","12009","FALSE","web","8"
"161","1161","502621.326","Norte","4","12013","TRUE","tradicional","6"
"162","1162","488752.239","Norte","2","12005","FALSE","web","8"
"163","1163","198327.78","Norte","3","12000","TRUE","tradicional","5"
"164","1164","400716.468","Norte","2","12027","TRUE","web","9"
"165","1165","652957.883","Norte","2","12007","FALSE","tradicional","3"
"166","1166","465960.861","Norte","2","12008","TRUE","web","6"
"167","1167","234151.428","Norte","2","12000","FALSE","tradicional","3"
"168","1168","564742.811","Norte","3","12003","FALSE","web","8"
"169","1169","289732.448","Norte","4","12009","FALSE","tradicional","9"
"170","1170","389614.678","Norte","2","12003","TRUE","web","9"
"171","1171","341893.826","Norte","1","12001","TRUE","tradicional","9"
"172","1172","254308.984","Norte","4","12033","TRUE","web","9"
"173","1173","456738.333","Norte","1","12000","FALSE","tradicional","3"
"174","1174","535085.299","Norte","4","12000","FALSE","web","3"
"175","1175","422622.562","Norte","3","12004","TRUE","tradicional","2"
"176","1176","281106.17","Norte","5","12036","TRUE","web","3"
"177","1177","170937.304","Norte","4","12001","TRUE","tradicional","3"
"178","1178","786565.098","Norte","1","12000","FALSE","web","2"
"179","1179","323931.486","Norte","4","12000","TRUE","tradicional","2"
"180","1180","288612.981","Norte","3","12004","TRUE","web","4"
"181","1181","293224.091","Norte","4","12000","TRUE","tradicional","8"
"182","1182","357699.565","Norte","2","12020","TRUE","web","2"
"183","1183","664890.934","Norte","2","12002","TRUE","tradicional","9"
"184","1184","268435.206","Norte","3","12019","FALSE","web","4"
